op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,Berģi,Berģu 17,2,51,1,2,Jaun.,Masonry,All amenities,75900,56.9997624,24.2761911
For sale,Dzegužkalns,Lielezeres 10,3,65,5,5,Jaun.,Masonry,All amenities,94000,56.95924805,24.05520227
For sale,Dzegužkalns,Lielezeres 10,3,62,5,5,Jaun.,Masonry,All amenities,93150,56.95924805,24.05520227
For sale,Dzegužkalns,Lielezeres 10,3,85,5,5,Jaun.,Masonry,All amenities,117000,56.95924805,24.05520227
For sale,Dzegužkalns,Lielezeres 10,2,58,5,5,Jaun.,Masonry,All amenities,87000,56.95924805,24.05520227
For rent,Ziepniekkalns,Ozolciema 18,2,58,8,9,119,Panel,All amenities,265,56.89859735,24.0876708
For sale,centrs,Lugažu 14,1,24,3,3,Staļina,Brick,All amenities,22500,56.97501495,24.10664461
For rent,Ziepniekkalns,Graudu 13,4,223,2,2,Priv. m.,Brick-Panel,All amenities,1000,56.9088093,24.0913836
For sale,centrs,Klijānu 6,3,52,6,9,Jaun.,Panel-Brick,All amenities,79800,56.9726557,24.14931172
For rent,centrs,Lāčplēša 77,1,31,2,2,P. kara,Wood,All amenities,220,56.949693,24.13322337
For rent,Čiekurkalns,Čiekurkalna 2. l. 1,1,23,1,2,P. kara,Masonry,All amenities,270,NaN,NaN
For rent,centrs,Pulkv. Brieža 21,2,83,3,7,Jaun.,Panel,All amenities,950,NaN,NaN
For sale,Purvciems,Ieriķu 33,3,60,5,5,LT proj.,Panel,All amenities,55499,56.96662215,24.17866853
For sale,Ķengarags,Maskavas 250/6,3,60,2,5,LT proj.,Panel,All amenities,40000,56.887204,24.2335864
For sale,Ķengarags,Lokomotīves 88,3,61,4,5,LT proj.,Panel,All amenities,49200,56.9019341,24.21384273
For rent,Purvciems,Dzelzavas 53,1,34,5,9,467,Panel,All amenities,260,56.9571336,24.1909674
For sale,Mežciems,Kaivas 50/1,3,74,1,5,Jaun.,Brick-Panel,All amenities,92750,56.9541725,24.2443253
For sale,Mežciems,Kaivas 50/1,4,113,3,5,Jaun.,Brick-Panel,All amenities,141375,56.9541725,24.2443253
For sale,centrs,Valdemāra 37,3,78,4,6,Renov.,Masonry,All amenities,159732,56.958482,24.116859
For rent,centrs,Stabu 94,3,97,6,6,Renov.,Masonry,All amenities,700,56.9499165,24.14129861
For sale,Pļavnieki,Dzeņu 8,1,41,3,5,M. ģim.,Panel,All amenities,30500,56.9396024,24.21101315
For rent,Sarkandaugava,Ganību d. 31b,2,39,2,5,Specpr.,Brick-Panel,All amenities,350,NaN,NaN
For rent,Sarkandaugava,Ganību d. 31b,1,30,4,5,Renov.,Brick-Panel,All amenities,260,NaN,NaN
For sale,centrs,Blaumaņa 12,3,63.2,2,6,Renov.,Masonry,All amenities,164320,56.9548306,24.1221141
For sale,Zolitūde,Anniņmuižas 2 b,4,91,1,9,119,Panel,All amenities,79500,56.9575957,24.0238997
For sale,Purvciems,Ūnijas 32,1,13,1,2,P. kara,Wood,All amenities,12500,56.9668361,24.1732945
For rent,Mežaparks,Viestura pr. 37,1,35,3,17,Specpr.,Brick-Panel,All amenities,250,NaN,NaN
For rent,centrs,Marijas 20,4,114,4,5,P. kara,Masonry,All amenities,250,56.9507818,24.1261795
For rent,Ziepniekkalns,Ozolciema 24,1,43,3,10,119,Brick-Panel,All amenities,270,56.89930985,24.08899607
For rent,Mežciems,Hipokrāta 13,1,45,3,16,104,Brick-Panel,All amenities,300,56.96683855,24.23704669
For rent,Pļavnieki,Dzeņu 8,1,40,4,5,M. ģim.,Panel,All amenities,260,56.9396024,24.21101315
For sale,Ķengarags,Lokomotīves 46,2,39,2,5,LT proj.,Brick-Panel,All amenities,30000,56.90929355,24.20023458
For rent,Ziepniekkalns,Valdeķu 62,1,38,3,9,Specpr.,Brick,All amenities,350,56.90102635,24.09399411
For rent,centrs,Cēsu 41,2,40,2,2,P. kara,Wood,All amenities,280,56.96656595,24.1436439
For rent,Purvciems,Dudajeva g. 5,1,28,3,5,LT proj.,Brick-Panel,All amenities,235,56.9570069,24.1987368
For sale,Brekši,Biķernieku 218,3,66,2,5,103,Brick-Panel,All amenities,43000,56.95765645,24.29116442
For sale,Jugla,Silciema 5,3,58,2,5,Hrušč.,Panel,All amenities,45000,56.9882535,24.23789543
For rent,centrs,Klijānu 6,1,14,5,9,Jaun.,Panel-Brick,All amenities,199,56.9726557,24.14931172
For sale,centrs,Pērnavas 43,3,54,3,6,P. kara,Brick,Partial amenities,51300,56.954919,24.1536554
For sale,Mežciems,Kaivas 50/1,2,64,2,5,Jaun.,Brick-Panel,All amenities,79500,56.9541725,24.2443253
For rent,centrs,Matīsa 41,1,22,1,2,Jaun.,Wood,All amenities,30,56.9554529,24.1371051
For rent,centrs,Matīsa 46,1,17,3,5,Jaun.,Masonry,All amenities,25,56.9549083,24.1376122
